tconst	averageRating	numVotes
tt0111161	9.3	2661371
tt0068646	9.2	1844385
tt0468569	9.0	2634327
tt0167260	9.0	1835100
tt0108052	9.0	1347886
tt0071562	9.0	1263465
tt0050083	9.0	785869
tt0110912	8.9	2037092
tt1375666	8.8	2334323
tt0167261	8.8	1657009
tt0137523	8.8	2106664
tt0120737	8.8	1864031
tt0109830	8.8	2062426
tt0060196	8.8	758651
tt0133093	8.7	1901823
tt0099685	8.7	1153301
tt0080684	8.7	1285395
tt0073486	8.7	1003908
tt0816692	8.6	1807351
tt0317248	8.6	754459
tt0245429	8.6	758115
tt0120815	8.6	1383214
tt0120689	8.6	1293209
tt0118799	8.6	692032
tt0114369	8.6	1640179
tt0103064	8.6	1093706
tt0102926	8.6	1423909
tt0076759	8.6	1357981
tt0056058	8.6	57193
tt0047478	8.6	345478
tt0038650	8.6	454054
tt6751668	8.5	790749
tt2582802	8.5	851061
tt1675434	8.5	853474
tt0482571	8.5	1325776
tt0407887	8.5	1317982
tt0253474	8.5	827471
tt0172495	8.5	1491522
tt0120586	8.5	1118193
tt0114814	8.5	1081124
tt0110413	8.5	1154903
tt0110357	8.5	1052384
tt0095765	8.5	260838
tt0095327	8.5	276476
tt0088763	8.5	1196883
tt0078788	8.5	665387
tt0078748	8.5	878500
tt0064116	8.5	329028
tt0054215	8.5	669855
tt0047396	8.5	490791
tt0034583	8.5	570288
tt0027977	8.5	242439
tt0021749	8.5	184915
tt8267604	8.4	89575
tt7286456	8.4	1265000
tt5311514	8.4	266572
tt4633694	8.4	522721
tt4154796	8.4	1117092
tt4154756	8.4	1069839
tt2380307	8.4	503282
tt1853728	8.4	1541863
tt1745960	8.4	426471
tt1345836	8.4	1695748
tt1187043	8.4	399468
tt0910970	8.4	1110612
tt0405094	8.4	389449
tt0364569	8.4	577330
tt0209144	8.4	1232804
tt0169547	8.4	1151390
tt0119698	8.4	393591
tt0112573	8.4	1034806
tt0091251	8.4	79865
tt0090605	8.4	715621
tt0086879	8.4	400795
tt0082971	8.4	962051
tt0082096	8.4	251298
tt0081505	8.4	1016811
tt0057565	8.4	45243
tt0057012	8.4	490433
tt0051201	8.4	125760
tt0050825	8.4	197643
tt0043014	8.4	222132
tt0032553	8.4	224124
tt2106476	8.3	329467
tt0435761	8.3	833289
tt0361748	8.3	1438375
tt0338013	8.3	1003355
tt0180093	8.3	839123
tt0119217	8.3	962403
tt0114709	8.3	989376
tt0105236	8.3	1013397
tt0087843	8.3	351737
tt0086190	8.3	1049268
tt0062622	8.3	666849
tt0056172	8.3	293932
tt0053125	8.3	328059
tt0052357	8.3	402109
tt0045152	8.3	242559
tt0033467	8.3	441849
tt0022100	8.3	158380
tt0986264	8.4	193674
tt8503618	8.4	94047
tt0056592	8.3	316817
tt0012349	8.3	126810
tt1255953	8.3	177800
tt1049413	8.3	1039343
tt0113277	8.3	652731
tt0066921	8.3	827487
tt1832382	8.3	245346
tt0055031	8.3	78055
tt0017136	8.3	174757
tt0053604	8.3	181891
tt0036775	8.3	157765
tt0044741	8.3	78851
tt0040522	8.3	163921
tt0093058	8.3	740622
tt0211915	8.3	755306
tt10872600	8.3	743357
tt0070735	8.3	262447
tt0086250	8.3	836939
tt5074352	8.3	191155
tt0167404	8.2	989318
tt0268978	8.2	929888
tt0055630	8.2	123344
tt0071853	8.2	541186
tt1130884	8.2	1303568
tt0040897	8.2	125431
tt0107290	8.2	984225
tt0042876	8.2	169005
tt0057115	8.2	244912
tt0266697	8.2	1110481
tt0477348	8.2	967826
tt0266543	8.2	1039753
tt0084787	8.2	424669
tt0080678	8.2	241551
tt0071315	8.2	326834
tt0081398	8.2	354026
tt0434409	8.2	1118778
tt0031381	8.2	315754
tt2096673	8.2	710135
tt0120735	8.2	581639
tt0046912	8.2	176439
tt0347149	8.2	394029
tt0050212	8.2	221196
tt1305806	8.2	210085
tt0075314	8.2	827245
tt0119488	8.2	582551
tt0208092	8.2	853694
tt0095016	8.2	873196
tt0097576	8.2	752500
tt8579674	8.2	582862
tt0363163	8.2	356000
tt0059578	8.2	256986
tt0372784	8.2	1463282
tt0053291	8.2	267538
tt10272386	8.2	151871
tt0042192	8.2	131814
tt6966692	8.2	487513
tt0993846	8.2	1395618
tt0089881	8.2	126072
tt0112641	8.2	518870
tt0457430	8.2	668086
tt0105695	8.2	412008
tt0469494	8.2	585187
tt0120382	8.2	1073514
tt1291584	8.2	472333
tt0118849	8.2	75178
tt0015864	8.2	111786
tt0017925	8.2	91864
tt0046268	8.2	61630
tt0015324	8.2	50424
tt0096283	8.1	338502
tt0405159	8.1	686614
tt0264464	8.1	975027
tt0353969	8.1	183850
tt3011894	8.1	198666
tt0083658	8.1	767025
tt0047296	8.1	155653
tt0112471	8.1	307962
tt2024544	8.1	699484
tt1201607	8.1	870921
tt0052618	8.1	239721
tt0050986	8.1	107801
tt0041959	8.1	172182
tt2267998	8.1	977584
tt0050976	8.1	185641
tt2278388	8.1	804743
tt0077416	8.1	339531
tt0107207	8.1	175568
tt0072684	8.1	168372
tt3170832	8.1	420185
tt4729430	8.1	148856
tt2119532	8.1	522836
tt0031679	8.1	116117
tt5027774	8.1	504882
tt0117951	8.1	686092
tt1392190	8.1	997239
tt1205489	8.1	774558
tt0116282	8.1	676787
tt1392214	8.1	707024
